Sample Number,Label,Text
10000,0,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##
10001,0,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted 
10002,0,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice
10003,0,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######
10004,0,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming"
10005,0,My blood is boiling
10006,0,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us ðŸ˜­ðŸ˜­ @__KirstyGA #raging #oldcunt
10007,0,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming"
10008,0,"@TeamShanny legit why i am so furious with him, people are such fucking idiots."
10009,0,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. 
10010,0,im so mad about power rangers. im incensed. im furious.
10011,0,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming
10012,0,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?
10013,0,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging"
10014,0,Fuking fuming ðŸ˜¤
10015,0,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that donâ€™t happen. #anger #loathing
10016,0,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.
10017,0,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell."
10018,0,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up
10019,0,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn 
10020,0,Making my buddy cry !! Bitch wait for revenge ðŸ¤—ðŸ‘ŒðŸ»
10021,0,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult
10022,0,I got a NO RESPONSE again from an #irate customer of #amazon ðŸ˜žðŸ˜ž\nwhy can't they understand that it's not always amazon fault..\n#carrierfault
10023,0,"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder"
10024,0,"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!"
10025,0,Actually fuming I have nothing to wear Saturday
10026,0,.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming
10027,0,Bloody parking ticket ðŸ˜’ðŸ’¸ #fuming
10028,0,You ever just find that the people around you really irritate you sometimes? That's me right now ðŸ˜’
10029,0,I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road 
10030,0,"This fuck you is boiling up inside, its not gonna be good when I let it out."
10031,0,@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines #fuming #con!
10032,0,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed 
10033,0,Since the 'update' my @iPhone loses power nearly 40% faster.  #furious
10034,0,@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR
10035,0,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly
10036,0,@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.
10037,0,@SunandBeachBum 'you people' infuriate me!
10038,0,@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment
10039,0,So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing
10040,0,Still can't log into my fucking Snapchat#Snapchat #snap
10041,0,@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming
10042,0,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2"
10043,0,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######
10044,0,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages "
10045,0,i feel furious
10046,0,Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.
10047,0,Still can't log into my fucking Snapchat #Snapchat 
10048,0,I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter
10049,0,People irritate my MF soul
10050,0,Im so angry ðŸ˜‚ðŸ™ƒ
10051,0,People fuckin irritate me
10052,0,"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge"
10053,0,That way ur so angry you can literally feel ur blood boiling
10054,0,@KatzeAnilothei this amount of greedy mooching makes me snarl.
10055,0,My mind is raging and i just want to end it all
10056,0,Absolutely fuming that some woman jumped into my prebooked taxi and drove off ðŸ˜¡
10057,0,I'm nothing but a hateful and bitter fag
10058,0,@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay
10059,0,@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!
10060,0,@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming
10061,0,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious
10062,0,So angry I wanna cryðŸ˜¢ðŸ˜¢ðŸ˜¢
10063,0,OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH 
10064,0,Boycotting @DunkinDonuts till butter pecan comes back. I am furious
10065,0,"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry"
10066,0,my mom cut my phone off and I'm so furious ðŸ¤—
10067,0,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps
10068,0,can't believe Achilles killed me! #angry
10069,0,I lost a couple niggas I want revenge so put me in coach
10070,0,@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you ðŸ˜•
10071,0,Where's your outrage when a black man kills another black man in the streets?
