Sample Number,Label,Text
20000,1,I feel like I am drowning. #depression #anxiety #falure #worthless
20001,1,I get so nervous even thinking about talking to ****** I wanna die
20002,1,I lost my blinders .... #panic
20003,1,I feel like I am drowning. #depression  #falure #worthless
20004,1,This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened
20005,1,@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him
20006,1,I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems
20007,1,@laura221b I don't think I've ever moved so fast in a panic in all my life ðŸ˜‚ Gave me such a fright ðŸ˜“
20008,1,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible
20009,1,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... 
20010,1,procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack
20011,1,My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe.
20012,1,"Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial"
20013,1,#panic Panic attack from fear of starting new medication
20014,1,Job interview in the afternoon #nervous #ek
20015,1,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ðŸ•· will be sneaking up on me 
20016,1,anxiety level- 100
20017,1,Wah just woke up frm a fucking nightmare
20018,1,I get so much PUSSY\nP - panic attacks \nU - uncontrollable anxiety \nS - suicidal fantasies \nS - sadness \nY - yearning for death
20019,1,Cosplaying properly for the first time on Saturday! Pretty nervous..
20020,1,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair"
20021,1,"Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still can't go to dentist"
20022,1,@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous
20023,1,im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint
20024,1,"Ever been really lonely and your phone keeps blowing up, but you just canâ€™t pick it up and respond to people? #anxiety #recluse  #issues"
20025,1,Super shitting it about this tattoo #nervous
20026,1,Breaking out in hives for the first time since college finals. #anxiety sucks
20027,1,@tchop__StL @YouTube \nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting.
20028,1,I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? ðŸ•· will be sneaking up on me #frightened
20029,1,6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed
20030,1,I hate when people say 'I need to talk to you or we need to talk.' My anxiety immediately goes up...
20031,1,He replied to my comments 4 times now i'm shaking omg
20032,1,"Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life"
20033,1,Just want Saturday to be over but then again I want to do good #LSAT #nervous
20034,1,"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial"
20035,1,I was literally shaking getting the EKG done lol ðŸ™„
20036,1,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific
20037,1,@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited
20038,1,"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit "
20039,1,@RosieBalls I fear for the future of mankind
20040,1,First day of college feeling nervous
20041,1,"i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out"
20042,1,@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...
20043,1,Gonna get some acupuncture today for all my damn anxiety ðŸ™ƒðŸ¤•
20044,1,#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape
20045,1,@p4pictures it would be great but what if the card crashes ðŸ˜±. It's happened to me twice #nightmare
20046,1,@corruptmelon now im feeling the #worry
20047,1,That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous ðŸ˜¥ðŸ˜¥
20048,1,i had a hard time falling a sleep and woke up several times because i was afraid of bugs crawling on me and i ended up waking up with a bite
20049,1,White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.
20050,1,Today was horrible and it was only half a day
20051,1,"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME....."
20052,1,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy"
20053,1,@RoseTintMyWorId fucking hell mate absolute nightmare ðŸ˜“
20054,1,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate "
20055,1,Life long fear of havin a shit and a spider crawls up ya bum
20056,1,"What a shamefull, unequal, dangerous and worrying world we live in nowadays!  #terrifying #Charlotte #terrorism #shitworldforourkids"
20057,1,@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 
20058,1,"I start work tmrw yall, i'm nervous lol"
20059,1,I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak
20060,1,"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom"
20061,1,Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.
