Sample Number,Label,Text
30000,2,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious
30001,2,Oh dear an evening of absolute hilarity I don't think I have laughed so much in a long time! ðŸ˜‚
30002,2,Been waiting all week for this game â¤ï¸â¤ï¸â¤ï¸ #cheer #friday â¤ï¸
30003,2,"@gardiner_love : Thank you so much, Gloria! You're so sweet, and thoughtful! You just made my day more joyful! I love you too! ðŸ˜ŠðŸ’•"
30004,2,"I feel so blessed to work with the family that I nanny for â¤ï¸ nothing but love &amp; appreciation, makes me smile."
30005,2,"Today I reached 1000 subscribers on YT!! , #goodday, #thankful"
30006,2,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile"
30007,2,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark"
30008,2,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much 
30009,2,"@IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot"
30010,2,I'm just still . So happy .\nA blast
30011,2,It's meant to be!! #happy #happy
30012,2,ðŸ’¥âš–ï¸Yeahâ€¼ï¸ PAULâ€¼ï¸âš–ï¸ðŸ’¥  #glorious #BB18
30013,2,My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay 
30014,2,ðŸ˜± @cailamarsai you've had me ðŸ˜‚ ðŸ˜‚ the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo
30015,2,@iamTinaDatta love you so much #smile ðŸ˜ŠðŸ˜Š
30016,2,"@WyoWiseGuy @LivingVertical however, REI did offer me the job today as well. Can't believe how exponentially freaking joyous I feel...!!!"
30017,2,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! #smiling
30018,2,@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs ï¤—
30019,2,"@luckiiCHARM_ Luckii, I'm changing in so many ways bc of Him!! It's a scary but joyful feeling, making me so strong."
30020,2,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious
30021,2,"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious"
30022,2,"now that I have my future planned out, I feel so much happier #goals #life #happy #igotthis #yay"
30023,2,Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;)
30024,2,@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the #laughter
30025,2,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday 
30026,2,@WSJNordics You make the world a more joyful place. #TheNiceBot
30027,2,Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:)
30028,2,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  "
30029,2,It's the #FirstDayofFall and I'm so happy. Sipping my #PumpkinSpice flavored coffee and #smiling! Happy Fall everyone! #amwriting
30030,2,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice
30031,2,@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again)
30032,2,LOVE LOVE LOVE  #fun #relaxationiskey
30033,2,"This is the day You've made, \n\nLet us rehoi rejoice and be glad with all that I am. \n\nðŸ˜ŠðŸ’–\n\n#aja \nGood morning!!!!"
30034,2,I #love to #laugh and share #laughter as way to share #joy
30035,2,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL #cheering
30036,2,I'm such a fan of endless #laughter with #friends and enjoying #happiness together. #FridayFeeling #weekend
30037,2,the thought of you gets me through my day. the thought of your smile never fails at making me smile ðŸ’š
30038,2,"Today I reached 1000 subscribers on YT!! #happy, #goodday, #thankful"
30039,2,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! #hilarious
30040,2,@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you â¤ï¸
30041,2,@shwood @mpforstein OMD you 2 are cracking me up! Thanks for the follow Brian. I need some levity to balance the cynicism I share w/MichaelðŸ˜€
30042,2,"@DorH84607784 Oh FANTASTIC, I bet it was super exhilarating  ðŸ¤—ðŸ˜"
30043,2,@ContourCosmetic well done ladies! A great award for an amazing team. A delight to present the award to you.
30044,2,Vals always smiling I love it #gbbo
30045,2,Had a great time at Skywalkers open gym tonight! Come our every Wednesday from 7-8 in Hillsboro and train with us! #opengym #cheer #tumbling
30046,2,I love how cheery and adoring @JackHoward gets every time he produces new content.
30047,2,Good morning joyful people. Choose happiness to have a great day today #morning #joyful #happiness #grandmercurejktkemayoran
30048,2,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed 
30049,2,"Wishing a very Happy Birthday to our awesome dancer, Ruthann!!! We hope your day is magical! #bday  #eatcake"
30050,2,Thank you @twitter for the balloons today. #smile #goodday #48
30051,2,Omg. You've got to watch the new series 'This is Us'.....wow. Best tv show I've seen in a long time.\n#tears #laughter #moretears
30052,2,Today is the first time any math professor let us live early before the class time !!! #15 min #feelsgood #happy #wednesday #
30053,2,Food that gets delivered ðŸ˜ðŸ™ŒðŸ» #cheering #happy
30054,2,You know you're in love when all you can do is smile whenever you talk about how he is to someone.
30055,2,What a #lively #lovely #shower ðŸ˜‡ ..
30056,2,"What a great training course, lots of photos, fun and laughter. Photo's will be up soon #Boostercourse #fun #laughter"
30057,2,@EmmyMitchell_  hahahaha you're ridiculous!!! But thank you a joyous evening xx
30058,2,I am so happy I have come across @HilltopBindery notebooks! #handmade would love to talk to you! #musthave #want #need #happy #amazing ðŸ“–ðŸ–‹
30059,2,second day on the job and i already got a 45 dollar tip from a dude whose was constantly twitching his eye LOLOLOL 
30060,2,Made my night that @GordonReid91 Reid was included in tonight's hilarity. Some of those points were brilliant. Thanks @andy_murray
30061,2,"By the way, I'm wearing the smile you gave me today. \n #you #me "
30062,2,@airvistara as always it was indeed a wonderful experience flying with you guys today #bestinbusiness #delight #happyme
30063,2,"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now."
30064,2,Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! 
30065,2,"@MrHenvin Thank you, happy birthday to you as well!"
30066,2,"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !"
30067,2,"@ChrisBooker @ThePerezHilton On PHP54  and though the Kardashian stuff goes over my head, you're both hilarious, like gleeful little boys ðŸ˜‚ðŸ˜‚"
30068,2,"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty"
30069,2,"May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah MubarakðŸ˜‡ , good morningâ˜• @WaseemBadami"
30070,2,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! 
30071,2,It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda ðŸ˜‚ðŸ˜‚ðŸ˜‚
30072,2,Happy Birthday @Brooke56_56  #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer
30073,2,TheNiceBot: melbjs ;) Here is a smile and a wink from across the web. #TheNiceBot
