Sample Number,Label,Text
40000,3,Depression sucks! #depression
40001,3,Feeling worthless as always #depression
40002,3,Feeling worthless as always 
40003,3,My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression
40004,3,Im think ima lay in bed all day and sulk. Life is hitting me to hard rn
40005,3,So when I try I fail... and when I don't try... I still fail... #confused and #lost
40006,3,Extreme sadness
40007,3,my life in one word is depressing
40008,3,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression
40009,3,Feel so grim + ugly atm
40010,3,Honestly depression is kicking my ass lately.. ðŸ˜”
40011,3,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice
40012,3,"After 3 idk why I start feeling so depress, sad and lonely."
40013,3,I sulk too much for my own good.
40014,3,A night where depression is winning... #depression #fml #help
40015,3,Going home is depressing
40016,3,We can't even grieve over one black body before another one pops up due to pig brutality
40017,3,It's a gloomy ass day
40018,3,@Fra93_bruno wow I'm just really sadden by that. Terrible
40019,3,My heads still in Ibiza but my body is sat at me desk at work #depressing
40020,3,@Ashleyavitia_ don't leave me #sad
40021,3,Depression sucks! 
40022,3,It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice
40023,3,This the most depressing shit ever
40024,3,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch
40025,3,"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy"
40026,3,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing
40027,3,When you have 15 doe run the opposite side of you ðŸ™ #depression
40028,3,The moment of the day when you have to start to plaster a smile in your face. #depression
40029,3,I hate when it's gloomy outside because it always gets me in a depressing mood
40030,3,People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day
40031,3,@FlakeJay ring ring! #depression is here
40032,3,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy
40033,3,"@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs"
40034,3,| At home sick... ðŸŽ¼The bluesðŸŽ¼ won't cure it so I need ideas ðŸŽ¸ðŸ˜­ | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa
40035,3,I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression
40036,3,sorry Main twitter im in depress
40037,3,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair"
40038,3,come to the funeral tomorrow at 12 to mourn the death of my gpa
40039,3,"@TNFryed Jesus, you just made think that of all the Vols v fl games I've seen. I've never seen a win. #depression"
40040,3,After spending Â£450 @Debenhams I was offered a Â£5 voucher. I asked if I could spend it at weekend? Was told 'no valid today only' #unhappy
40041,3,Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged ðŸ˜ª
40042,3,depress ðŸ˜­
40043,3,"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem"
40044,3,Summer officially ends today. #sadness
40045,3,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching
40046,3,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy"
40047,3,"Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping."
40048,3,Im really constipated. This is depressing
40049,3,When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT
40050,3,Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor
40051,3,@Christy_RTR @doge_e_fresh I'm despondent
40052,3,2 applications for my dbs and still waiting. Been over a year now. Going to loose my job ðŸ‘ðŸ¿ @GOVUK  #thanks #unhappy #crb
40053,3,I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now ðŸ˜ž
40054,3,@Hayles_101 The three R's depress me.
40055,3,Too many gloomy days
40056,3,The weather sure matches the mood in this state today.. #gloomy
40057,3,and again dirty and  self loathing attitude  mope talking
40058,3,Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU
40059,3,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops ðŸ‘ŽðŸ¾ðŸ‘ŽðŸ½ðŸ‘ŽðŸ»ðŸ‚ðŸ
40060,3,My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe
40061,3,"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP"
40062,3,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired 
40063,3,"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get"
40064,3,We have left #Maine. #sadness
40065,3,"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them."
40066,3,@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions
40067,3,It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200
40068,3,The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness
40069,3,Never ever been this unhappy before in my life lmao
40070,3,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy
40071,3,Condolences to the  JC and the Georges family.. #sad
40072,3,No one wants to win the wild card because you have to play the Cubs on the road.  #sadness
40073,3,Groom gloom.
40074,3,I don't think I can go to work tomorrow since val has left #GBBO I need a day to mourn
40075,3,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.
40076,3,@6itmap I can't help but feel melancholic!
40077,3,@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.
40078,3,If anybody needs me I'll be drowning my blues in a sea of whiskey ðŸ»
40079,3,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad
40080,3,in health we did a think about depression and now i feel like i have it
40081,3,@Gaychel22 @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair ðŸ˜©
40082,3,So depressing that it's darker so much earlier now
40083,3,@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if canâ€™t just Re-tweet
40084,3,Currently unfollowing anything relating to disneyworld or Florida! #holidayblues #depressing #wantogoback ðŸ˜­ðŸ’”
40085,3,It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh ðŸ˜’
40086,3,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost
40087,3,"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing"
40088,3,@crimsonwulfe it's super sad!! Especially when you are talking to a real person and not a bot! Makes it feel real :(
40089,3,@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.
40090,3,Baaarissshhhhh + sad song =  prefect night â€” feeling alone
40091,3,im so gloomy today
40092,3,Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.
40093,3,. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices
40094,3,Back in Cardiff after an amazing 10 days away ðŸ˜­ #depressing
40095,3,so lost i'm faded
40096,3,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n #quotes #worstenemy  #thinktoomuch
40097,3,@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer
40098,3,Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness
40099,3,"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared..."
40100,3,@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.
40101,3,@rockcock64 cum and despair
40102,3,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad
40103,3,i is sad
